Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Town House,New Capital City,5.0,270.0,300000,1949904.1834481293,84.6
Chalet,Alamein,3.0,200.0,278871,1815633.7814030286,84.6
Town House,New Hut - El Tagamoa,4.0,240.0,400000,2598120.8654187797,84.6
Town House,Ain Sukhna,3.0,161.0,442700,2871935.3823296484,84.6
Town House,New Hut - El Tagamoa,4.0,240.0,400000,2598120.8654187797,84.6
Chalet,North Coast,3.0,135.0,192500,1243598.5102535007,84.5
Apartment,New Hut - El Tagamoa,3.0,217.0,380000,2448801.0986769884,84.5
Chalet,Sheikh Zayed,3.0,140.0,340000,2195088.408745122,84.5
Apartment,New Hut - El Tagamoa,4.0,170.0,250000,1603979.3682727567,84.4
Town House,Sheikh Zayed,3.0,189.0,270000,1733177.417325971,84.4
Chalet,North Coast,2.0,110.0,348000,2229604.5625403197,84.4
Twin House,New Hut - El Tagamoa,4.0,324.0,100000,640378.736782697,84.4
Chalet,North Coast,1.0,70.0,210000,1342075.4445103514,84.4
Stand Alone Villa,New Hut - El Tagamoa,4.0,500.0,825000,5264450.449747779,84.3
Town House,Mostakbal City,3.0,261.0,285000,1810614.5289578578,84.3
Chalet,North Coast,3.0,110.0,250000,1592738.9232339684,84.3
Twin House,Sheikh Zayed,3.0,381.0,440000,2797319.260742744,84.3
Chalet,North Coast,2.0,138.0,346000,2209091.445954786,84.3
Chalet,North Coast,2.0,110.0,350000,2211430.504231384,84.2
Town House,Sheikh Zayed,4.0,212.0,600000,3802742.6076237466,84.2
Chalet,North Coast,2.0,92.0,320000,2026336.8859265386,84.2
Duplex,New Hut - El Tagamoa,4.0,214.0,420000,2666259.2054066514,84.2
Chalet,North Coast,3.0,138.0,330000,2071215.2185293362,84.1
Town House,Shorouk City,4.0,200.0,302000,1891276.2313913992,84.0
Apartment,New Hut - El Tagamoa,3.0,146.0,148920,931673.0609594937,84.0
Town House,North Coast,3.0,330.0,350000,2189255.2321867193,84.0
Twin House,Shorouk City,5.0,240.0,388000,2424572.8810060467,84.0
Apartment,New Hut - El Tagamoa,3.0,175.0,342700,2146396.158594468,84.0
Twin House,North Coast,3.0,260.0,290000,1813959.664754469,84.0
Apartment,New Capital City,3.0,188.0,138000,859839.3244534214,84.0
